sample,strain,alias,coatcolor,coat,belly,headspot,noseblaze,bellyspot,handling,barbering,othernotes
8_CC001-Uncb38V01.csv,CC001/Unc,OR13140,0,black,black,no,no,no,"jumpy, especially as weanlings",None,None
8_CC002-Uncb38V01.csv,CC002/Unc,OR15156,0,agouti,agouti,no,no,no,None,None,None
8_CC003-Uncb38V01.csv,CC003/Unc,OR13067,0,black,black,yes,yes,no,very strong- difficult to scruff,None,"very prone to dermatitis, which does not heal well, so house on alphadri. Excessive urination"
8_CC004-TauUncb38V01.csv,CC004/TauUnc,IL16188,0,agouti,agouti,no,no,no,jumpy,None,weanlings very jumpy. Adults prone to obesity
8_CC005-TauUncb38V01.csv,CC005/TauUnc,IL16211,0,agouti,agouti,no,no,some,None,None,"males prone to prepucial gland abscesses, so we house on alphadri"
8_CC006-TauUncb38V01.csv,CC006/TauUnc,IL16750,0,agouti,tan,no,no,no,None,None,None
8_CC007-Uncb38V01.csv,CC007/Unc,OR13421,1,white,white,no,no,no,None,yes,"males develop cystic bulbourethral glands, but continue to be fertile"
8_CC008-GeniUncb38V01.csv,CC008/GeniUnc,AU8036,0,black,black,no,no,no,None,None,develops dermatitis
8_CC009-Uncb38V01.csv,CC009/Unc,OR5489,1,white,white,no,no,no,None,None,None
8_CC010-GeniUncb38V01.csv,CC010/GeniUnc,AU8018,1,white,white,no,no,no,extremely docile,None,None
8_CC011-Uncb38V01.csv,CC011/Unc,OR3252,1,white,white,no,no,no,None,None,This strain is prone to colitis and rectal prolapses.  Older females can develop swollen feet/toes.
8_CC012-GeniUncb38V01.csv,CC012/GeniUnc,AU8005,0,agouti,agouti,no,no,no,None,None,None
8_CC013-GeniUncb38V01.csv,CC013/GeniUnc,AU8010,0,agouti,agouti,no,no,none,None,None,None
8_CC015-Uncb38V01.csv,CC015/Unc,OR3154,0,black,black,black,black,black,None,None,None
8_CC016-GeniUncb38V01.csv,CC016/GeniUnc,AU8024,0,agouti,agouti,no,no,no,None,None,None
8_CC017-Uncb38V01.csv,CC017/Unc,OR3032,0,agouti,agouti,no,no,no,None,None,None
8_CC019-TauUncb38V01.csv,CC019/TauUnc,IL16513,1,white,white,no,no,no,jumpy,None,jumpy & aggressive. High incidence of hydrocephalus.
8_CC021-Uncb38V01.csv,CC021/Unc,OR1566,0,agouti,agouti,no,no,no,None,None,"some do well in multi female cages, others do not"
8_CC023-GeniUncb38V01.csv,CC023/GeniUnc,AU8043,0,non-agouti brown (chocolate),non-agouti brown (chocolate),some,no,no,None,None,None
8_CC024-GeniUncb38V01.csv,CC024/GeniUnc,AU8004,1,white,white,no,no,no,jumpy,None,None
8_CC025-GeniUncb38V01.csv,CC025/GeniUnc,AU8008,1,white,white,no,no,no,None,None,develops dermatitis
8_CC026-GeniUncb38V01.csv,CC026/GeniUnc,AU8026,0,agouti,agouti,yes,no,yes some,jumpy,None,"Not breeding, may be on going out."
8_CC027-GeniUncb38V01.csv,CC027/GeniUnc,AU8027,0,black,black,no,no,no,None,None,None
8_CC029-Uncb38V01.csv,CC029/Unc,OR3564,1,white,white,no,no,no,None,None,"Lung and heart issues noted from necropsies: PDA (patent ductus arteriosus), thin ventricular walls, poor contractility, emphysema Watch for breathing problems, ""blue"" mice"
8_CC030-GeniUncb38V01.csv,CC030/GeniUnc,AU8034,0,not fixed,not fixed,no,no,no,aggressive,yes,"agouti and black mice. will fight, watch for aggressive mice"
8_CC031-GeniUncb38V01.csv,CC031/GeniUnc,AU8031,1,white,white,no,no,no,None,None,watch females as several seem to be infertile. Turn breeders often.
8_CC032-GeniUncb38V01.csv,CC032/GeniUnc,AU8002,0,agouti,agouti,no,no,yes some,None,None,None
8_CC033-GeniUncb38V01.csv,CC033/GeniUnc,AU8033,0,agouti,agouti,no,no,no,None,None,mouse cages only
8_CC035-Uncb38V01.csv,CC035/Unc,OR5035,0,agouti,agouti,no,no,no,None,"possible- most weanlings have little or no fur on back or chest, but adults are not barbered",Males are very aggressive w/ each other. Most weanlings have little or no fur on back or chest.
8_CC036-Uncb38V01.csv,CC036/Unc,OR477,1,white,white,no,no,no,None,None,None
8_CC037-TauUncb38V01.csv,CC037/TauUnc,IL16072,0,agouti,white,no,no,no,None,yes- some,None
8_CC038-GeniUncb38V01.csv,CC038/GeniUnc,AU8049,0,agouti,agouti,no,no,no,slightly jumpy,None,older adults tend to become obese
8_CC039-Uncb38V01.csv,CC039/Unc,OR15155,1,white,white,no,no,no,jumpy- adults can jump extremely high,None,None
8_CC040-TauUncb38V01.csv,CC040/TauUnc,IL16557,0,agouti,agouti,no,no,no,None,None,None
8_CC041-TauUncb38V01.csv,CC041/TauUnc,IL16441,0,agouti,agouti,no,no,no,None,None,None
8_CC042-GeniUncb38V01.csv,CC042/GeniUnc,AU18042,0,agouti,agouti,yes,yes,no,slightly jumpy,None,"prone to dermatitis, so we house on alphadri"
8_CC043-GeniUncb38V01.csv,CC043/GeniUnc,AU8021,0,agouti,agouti,no,no,no,None,None,None
8_CC044-Uncb38V01.csv,CC044/Unc,OR4410,0,agouti,agouti,no,no,no,None,None,barbering
8_CC045-GeniUncb38V01.csv,CC045/GeniUnc,AU8045,1,white,white,no,no,no,None,yes-back & face,None
8_CC046-Uncb38V01.csv,CC046/Unc,OR5346,1,white,white,no,no,no,None,None,None
8_CC049-TauUncb38V01.csv,CC049/TauUnc,IL16296,0,agouti,agouti,no,no,no,None,None,None
8_CC051-TauUncb38V01.csv,CC051/TauUnc,IL16912,1,white,white,no,no,no,None,None,"males (only males?) prone to rectal prolapse, so house on alphadri"
8_CC053-Uncb38V01.csv,CC053/Unc,OR773,0,agouti,not fixed,no,no,yes,None,None,None
8_CC055-TauUncb38V01.csv,CC055/TauUnc,IL16680,1,white,white,no,no,no,None,None,None
8_CC057-Uncb38V01.csv,CC057/Unc,OR3393,0,black,black,no,no,some,None,None,adults can become obese
