marker,chromosome,position,basepair
UNC6,1,3.010274,3010274
JAX00000010,1,3.135418,3135418
JAX00240603,1,3.252796,3252796
JAX00240610,1,3.266608,3266608
JAX00240613,1,3.3234,3323400
JAX00240636,1,3.389563,3389563
JAX00240649,1,3.454984,3454984
JAX00000040,1,3.544819,3544819
UNC010515443,1,3.668628,3668628
UNC9371,1,3.892718,3892718
UNC010001943,1,3.97713,3977130
UNC11461,1,4.024785,4024785
UNC12838,1,4.136034,4136034
JAX00000089,1,4.195353,4195353
UNC15185,1,4.35782,4357820
UNC010515539,1,4.430623,4430623
UNC16386,1,4.446737,4446737
UNC010515556,1,4.531029,4531029
UNC19217,1,4.668424,4668424
UNC21023,1,4.809276,4809276
UNC23507,1,5.032086,5032086
UNC23995,1,5.133382,5133382
UNC24700,1,5.224578,5224578
UNC26205,1,5.634186,5634186
UNC26932,1,5.782289,5782289
UNC28841,1,5.944792,5944792
UNC010516347,1,6.020779,6020779
UNC30322,1,6.063698,6063698
UNC34218,1,6.357478,6357478
UNC36398,1,6.529432,6529432
UNC38030,1,6.671327,6671327
JAX00000280,1,6.74744,6747440
JAX00241205,1,6.756021,6756021
UNC011026542,1,6.777896,6777896
UNC40323,1,6.846703,6846703
UNC41603,1,6.965962,6965962
UNC44002,1,7.143836,7143836
UNC45743,1,7.258768,7258768
JAX00241286,1,7.313436,7313436
UNC49074,1,7.521699,7521699
UNC49759,1,7.548683,7548683
UNC010005983,1,7.650439,7650439
JAX00000353,1,7.698048,7698048
JAX00241337,1,7.771532,7771532
JAX00241338,1,7.773471,7773471
UNC55318,1,7.815721,7815721
JAX00241349,1,7.872143,7872143
JAX00241351,1,7.940508,7940508
UNC57959,1,7.969906,7969906
JAX00241357,1,8.023368,8023368
UNC58412,1,8.051126,8051126
UNC61552,1,8.262392,8262392
UNC010010509,1,8.277576,8277576
UNC64786,1,8.458157,8458157
UNC66010,1,8.55413,8554130
UNC67320,1,8.644649,8644649
UNC010013426,1,8.843139,8843139
UNC70761,1,8.865088,8865088
UNC73203,1,9.037356,9037356
UNC74840,1,9.156562,9156562
JAX00000461,1,9.24798,9247980
UNC76650,1,9.28275,9282750
UNC78561,1,9.42912,9429120
backupJAX00000484,1,9.553973,9553973
UNC81870,1,9.671947,9671947
UNC010016945,1,9.774388,9774388
UNC82824,1,9.774585,9774585
UNC83675,1,9.843988,9843988
UNC84898,1,9.919658,9919658
UNC85539,1,9.964703,9964703
UNC86282,1,10.014552,10014552
UNC86947,1,10.063414,10063414
UNC87305,1,10.098253,10098253
UNC87850,1,10.147799,10147799
UNC88286,1,10.21153,10211530
JAX00241740,1,10.262178,10262178
JAX00241750,1,10.279703,10279703
UNC89490,1,10.307255,10307255
UNC89876,1,10.361724,10361724
UNC90063,1,10.391301,10391301
UNC90639,1,10.452345,10452345
UNC91280,1,10.50484,10504840
UNC91753,1,10.555149,10555149
UNC92768,1,10.619399,10619399
UNC93438,1,10.661586,10661586
UNC93857,1,10.693855,10693855
UNC94417,1,10.741675,10741675
UNC94965,1,10.809088,10809088
UNC95366,1,10.849375,10849375
JAX00000583,1,10.87449,10874490
UNC95979,1,10.898627,10898627
UNC96966,1,10.964168,10964168
UNC97447,1,11.006096,11006096
JAX00241835,1,11.024376,11024376
UNC98241,1,11.068783,11068783
JAX00241853,1,11.09954,11099540
UNC010019700,1,11.101049,11101049
UNC99201,1,11.116461,11116461
UNC010961842,1,11.139173,11139173
UNC99911,1,11.147702,11147702
JAX00241881,1,11.184476,11184476
UNC101009,1,11.19286,11192860
UNC102088,1,11.25221,11252210
UNC102696,1,11.291251,11291251
UNC103874,1,11.341672,11341672
UNC104485,1,11.372643,11372643
UNC105283,1,11.416077,11416077
UNC106795,1,11.502038,11502038
UNC107703,1,11.547936,11547936
UNC108325,1,11.570718,11570718
UNC109624,1,11.643615,11643615
UNC_rs48518594,1,11.672648,11672648
UNC110353,1,11.692348,11692348
UNC111393,1,11.746954,11746954
UNC112302,1,11.793253,11793253
JAX00241997,1,11.832552,11832552
UNC113047,1,11.835789,11835789
UNC114331,1,11.914562,11914562
UNC114802,1,11.95463,11954630
JAX00242019,1,11.970514,11970514
JAX00242029,1,11.996568,11996568
B6_01-011986786-S,1,11.996705,11996705
UNC115578,1,12.006194,12006194
UNC116540,1,12.082783,12082783
UNC116817,1,12.116705,12116705
UNC117421,1,12.181782,12181782
UNC118279,1,12.233226,12233226
UNC118659,1,12.273136,12273136
UNC119270,1,12.318704,12318704
UNC119817,1,12.371234,12371234
UNC120225,1,12.397782,12397782
UNC120822,1,12.459995,12459995
UNC121401,1,12.518475,12518475
UNC121959,1,12.581013,12581013
UNC122065,1,12.606658,12606658
UNC123049,1,12.684741,12684741
UNC010520877,1,12.722538,12722538
UNC123541,1,12.729603,12729603
UNC123662,1,12.740981,12740981
JAX00242146,1,12.797945,12797945
UNC124584,1,12.812959,12812959
JAX00242170,1,12.857792,12857792
UNC125332,1,12.880486,12880486
UNC125893,1,12.916065,12916065
UNC126538,1,12.946779,12946779
JAX00242215,1,12.994801,12994801
JAX00242226,1,13.038248,13038248
JAX00000747,1,13.055719,13055719
UNC128912,1,13.076797,13076797
UNC129874,1,13.129964,13129964
UNC130265,1,13.164449,13164449
UNC130697,1,13.202276,13202276
UNC131096,1,13.243837,13243837
JAX00000763,1,13.27527,13275270
UNC131724,1,13.287056,13287056
JAX00242345,1,13.326063,13326063
UNC132450,1,13.356203,13356203
UNC132724,1,13.381025,13381025
UNC134046,1,13.500643,13500643
UNC010026274,1,13.50843,13508430
UNC134669,1,13.540908,13540908
UNC135474,1,13.604982,13604982
UNC_rs50672660,1,13.653698,13653698
UNC136630,1,13.675105,13675105
UNC137674,1,13.738223,13738223
UNC138462,1,13.781683,13781683
JAX00242455,1,13.782602,13782602
JAX00242480,1,13.855369,13855369
UNC140121,1,13.860415,13860415
UNC140543,1,13.890559,13890559
UNC141072,1,13.936558,13936558
UNC141887,1,13.998147,13998147
UNC142280,1,14.027765,14027765
JAX00000824,1,14.07703,14077030
UNC143394,1,14.134903,14134903
JAX00242525,1,14.138417,14138417
JAX00242530,1,14.190483,14190483
UNC144144,1,14.196604,14196604
JAX00000833,1,14.205522,14205522
UNC144647,1,14.22863,14228630
UNC145132,1,14.261489,14261489
JAX00000840,1,14.297118,14297118
UNC145909,1,14.334166,14334166
backupUNC010029391,1,14.350467,14350467
UNC146540,1,14.367338,14367338
UNC147332,1,14.421305,14421305
UNC148022,1,14.473352,14473352
UNC148652,1,14.540842,14540842
JAX00000859,1,14.542325,14542325
JAX00242592,1,14.568781,14568781
JAX00000863,1,14.579332,14579332
UNC149432,1,14.589546,14589546
UNC149968,1,14.622203,14622203
UNC150730,1,14.659888,14659888
UNC010030595,1,14.698538,14698538
UNC151920,1,14.726005,14726005
UNC152555,1,14.763878,14763878
UNC153710,1,14.835368,14835368
UNC154487,1,14.876688,14876688
UNC155247,1,14.909034,14909034
UNC156238,1,14.976701,14976701
UNC156797,1,15.019277,15019277
JAX00242692,1,15.10612,15106120
UNC158041,1,15.120755,15120755
UNC158683,1,15.165901,15165901
JAX00242707,1,15.206357,15206357
JAX00242713,1,15.217198,15217198
UNC159456,1,15.224755,15224755
UNC159803,1,15.267064,15267064
UNC160312,1,15.31941,15319410
JAX00000918,1,15.353592,15353592
JAX00242746,1,15.359024,15359024
UNC161340,1,15.367984,15367984
UNC162008,1,15.409882,15409882
UNC162603,1,15.439741,15439741
UNC163443,1,15.499909,15499909
UNC164396,1,15.558147,15558147
JAX00242808,1,15.581297,15581297
UNC164943,1,15.590146,15590146
UNC165948,1,15.645669,15645669
UNC166915,1,15.716413,15716413
JAX00242845,1,15.718815,15718815
UNC167166,1,15.752018,15752018
UNC167757,1,15.787725,15787725
JAX00242874,1,15.817404,15817404
UNC168953,1,15.857464,15857464
JAX00000960,1,15.905961,15905961
UNC169874,1,15.909294,15909294
UNC170285,1,15.938033,15938033
UNC171301,1,16.019662,16019662
UNC171801,1,16.050637,16050637
UNC172447,1,16.106636,16106636
UNC173039,1,16.155822,16155822
JAX00000980,1,16.162132,16162132
UNC173980,1,16.238141,16238141
UNC174093,1,16.247655,16247655
UNC010035232,1,16.303766,16303766
UNC176258,1,16.468348,16468348
UNC177767,1,16.578608,16578608
JAX00243025,1,16.698743,16698743
UNC179038,1,16.699047,16699047
UNC180162,1,16.788561,16788561
UNC182173,1,16.960039,16960039
UNC010687234,1,16.98167,16981670
UNC184484,1,17.121242,17121242
JAX00243092,1,17.170659,17170659
UNC186479,1,17.255046,17255046
JAX00243111,1,17.31631,17316310
UNC187637,1,17.321336,17321336
UNC189115,1,17.417608,17417608
JAX00243158,1,17.492191,17492191
UNC010036966,1,17.595239,17595239
JAX00001099,1,17.753014,17753014
UNC194162,1,17.791343,17791343
UNC195750,1,17.873597,17873597
UNC197893,1,18.007392,18007392
UNC200911,1,18.182873,18182873
UNC201418,1,18.215345,18215345
backupUNC010039427,1,18.273811,18273811
UNC203703,1,18.331338,18331338
JAX00001153,1,18.48459,18484590
UNC206290,1,18.493429,18493429
JAX00001157,1,18.508483,18508483
UNC207853,1,18.616479,18616479
UNC209992,1,18.766557,18766557
JAX00243409,1,18.823698,18823698
UNC211603,1,18.872023,18872023
JAX00243419,1,18.958722,18958722
UNC213909,1,19.045994,19045994
JAX00243441,1,19.056782,19056782
UNC215285,1,19.164865,19164865
UNC216547,1,19.328374,19328374
JAX00001223,1,19.411723,19411723
UNC218583,1,19.481986,19481986
UNC219849,1,19.564696,19564696
UNC222054,1,19.717084,19717084
UNC010042487,1,19.71809,19718090
UNC222950,1,19.773579,19773579
UNC010523586,1,19.838001,19838001
UNC225391,1,19.958597,19958597
UNC227355,1,20.083938,20083938
JAX00243648,1,20.15025,20150250
UNC228500,1,20.168445,20168445
JAX00001283,1,20.201542,20201542
UNC231492,1,20.394846,20394846
UNC231727,1,20.410676,20410676
UNC235488,1,20.640694,20640694
UNC236681,1,20.734197,20734197
backupUNC010044640,1,20.832381,20832381
UNC239961,1,20.89036,20890360
JAX00243838,1,20.903918,20903918
